dx,dy,mode
-28.2,278.6,0
-28.2,278.7,0
-28.3,278.7,0
-28.2,278.7,0
-28.3,278.7,0
-28.3,278.7,0
-28.2,278.7,0
-28.2,278.7,0
-28.3,278.7,0
-28.3,278.7,0
-28.3,278.8,0
-28.3,278.8,0
-28.3,278.9,0
-28.4,278.9,0
-28.3,278.9,0
-28.3,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.4,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.2,279.1,0
-28.3,279.0,0
-28.3,279.1,0
-28.2,279.0,0
-28.2,279.0,0
-28.3,279.0,0
-28.2,279.0,0
-28.2,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.4,278.9,0
-28.3,278.9,0
-28.3,278.8,0
-28.3,278.7,0
-28.3,278.8,0
-28.3,278.7,0
-28.2,278.7,0
-28.2,278.7,0
-28.2,278.7,0
-28.3,278.7,0
-28.2,278.7,0
-28.3,278.7,0
-28.2,278.6,0
-28.2,278.7,0
-28.2,278.6,0
-28.2,278.7,0
-28.3,278.7,0
-28.2,278.7,0
-28.3,278.7,0
-28.2,278.7,0
-28.3,278.7,0
-28.3,278.7,0
-28.3,278.8,0
-28.3,278.7,0
-28.3,278.8,0
-28.3,278.8,0
-28.3,278.9,0
-28.4,278.9,0
-28.3,279.0,0
-28.3,279.0,0
-28.2,279.0,0
-28.4,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.2,279.0,0
-28.3,279.0,0
-28.3,279.1,0
-28.2,279.1,0
-28.2,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.2,279.0,0
-28.4,279.0,0
-28.3,279.0,0
-28.4,278.9,0
-28.3,278.8,0
-28.3,278.8,0
-28.2,278.8,0
-28.3,278.7,0
-28.3,278.7,0
-28.3,278.7,0
-28.2,278.7,0
-28.3,278.7,0
-28.2,278.7,0
-28.2,278.6,0
-28.2,278.6,0
-28.2,278.7,0
-28.2,278.6,0
-28.2,278.7,0
-28.3,278.7,0
-28.3,278.7,0
-28.2,278.6,0
-28.3,278.7,0
-28.3,278.7,0
-28.3,278.7,0
-28.4,278.8,0
-28.3,278.8,0
